	Frequency [Hz]	Amplitude [mm/s]	Phase Angle [°]	
355	579.68	1.0601e-003	150.08	
356	579.78	1.0671e-003	149.53	
357	579.84	1.0713e-003	149.19	
358	579.87	1.0738e-003	148.97	
359	579.93	1.0778e-003	148.63	
360	579.99	1.0817e-003	148.29	
361	580.02	1.084e-003	148.07	
362	580.08	1.0878e-003	147.72	
363	580.18	1.0936e-003	147.14	
364	580.33	1.1025e-003	146.2	
365	580.58	1.1151e-003	144.66	
366	580.99	1.1311e-003	142.13	
367	581.66	1.1453e-003	138.06	
368	582.73	1.1409e-003	131.9	
369	584.48	1.0859e-003	123.69	
370	587.32	9.5476e-004	115.13	
371	591.93	7.6268e-004	109.11	
372	598.3	5.6411e-004	108.65	
373	604.16	4.1552e-004	114.74	
374	608.91	3.1303e-004	128.5	
375	611.86	2.7025e-004	145.18	
376	613.7	2.6287e-004	159.19	
377	614.83	2.6912e-004	168.53	
378	615.54	2.7767e-004	174.23	
379	615.97	2.8479e-004	177.64	
380	616.24	2.899e-004	179.69	
381	616.4	2.9332e-004	-179.07	
382	616.5	2.9553e-004	-178.31	
383	616.56	2.9693e-004	-177.85	
384	616.6	2.9781e-004	-177.57	
385	616.66	2.9924e-004	-177.12	
386	616.73	3.007e-004	-176.67	
387	616.76	3.0163e-004	-176.39	
388	616.83	3.0316e-004	-175.94	
389	616.93	3.057e-004	-175.22	
390	617.09	3.1001e-004	-174.07	
391	617.36	3.1746e-004	-172.24	
392	617.79	3.3074e-004	-169.41	
393	618.5	3.5552e-004	-165.18	
394	619.64	4.0439e-004	-159.32	
395	621.5	5.0768e-004	-152.39	
396	624.52	7.4733e-004	-147.03	
397	626.68	9.8715e-004	-146.92	
398	628.68	1.2782e-003	-149.49	
399	631.73	1.8782e-003	-159.2	
400	633.63	2.3245e-003	-169.52	
401	634.8	2.5892e-003	-177.63	
402	635.52	2.73e-003	176.83	
403	635.97	2.8034e-003	173.26	
404	636.25	2.8427e-003	171.03	
405	636.42	2.8644e-003	169.64	
406	636.52	2.8767e-003	168.79	
407	636.59	2.884e-003	168.26	
408	636.63	2.8883e-003	167.94	
409	636.69	2.895e-003	167.41	
410	636.75	2.9014e-003	166.89	
411	636.79	2.9053e-003	166.57	
412	636.86	2.9113e-003	166.04	
413	636.96	2.9205e-003	165.18	
414	637.13	2.9336e-003	163.79	
415	637.41	2.9506e-003	161.55	
416	637.86	2.9667e-003	157.96	
417	638.58	2.9647e-003	152.33	
418	639.57	2.916e-003	145.3	
419	640.54	2.8319e-003	139.11	
420	641.27	2.7553e-003	134.98	
421	641.72	2.7048e-003	132.64	
422	642.	2.673e-003	131.27	
423	642.17	2.6533e-003	130.45	
424	642.28	2.6411e-003	129.95	
425	642.34	2.6335e-003	129.65	
426	642.38	2.6289e-003	129.47	
427	642.45	2.6215e-003	129.18	
428	642.51	2.614e-003	128.89	
429	642.55	2.6093e-003	128.71	
430	642.62	2.6018e-003	128.42	
431	642.72	2.5895e-003	127.95	
432	642.9	2.5696e-003	127.22	
433	643.17	2.5373e-003	126.05	
434	643.63	2.4853e-003	124.26	
435	644.36	2.4023e-003	121.59	
436	645.55	2.2733e-003	117.8	
437	647.49	2.0837e-003	112.88	
438	650.64	1.8334e-003	107.3	
439	655.74	1.5505e-003	101.96	
440	664.03	1.2782e-003	97.651	
441	664.52	1.2664e-003	97.485	
442	672.68	1.1114e-003	95.524	
443	677.96	1.0401e-003	94.923	
444	681.25	1.005e-003	94.845	
445	683.29	9.8808e-004	94.895	
446	684.56	9.7996e-004	94.917	
447	685.34	9.7579e-004	94.905	
448	685.82	9.7347e-004	94.883	
449	686.12	9.7211e-004	94.863	
450	686.3	9.7129e-004	94.848	
451	686.41	9.7079e-004	94.838	
452	686.48	9.7049e-004	94.831	
453	686.53	9.703e-004	94.827	
454	686.6	9.7e-004	94.82	
455	686.66	9.6971e-004	94.812	
456	686.71	9.6952e-004	94.807	
457	686.78	9.6922e-004	94.799	
458	686.89	9.6873e-004	94.786	
459	687.07	9.6795e-004	94.762	
460	687.37	9.6667e-004	94.719	
461	687.85	9.6455e-004	94.64	
462	688.64	9.6095e-004	94.487	
463	689.91	9.5445e-004	94.203	
464	691.98	9.4224e-004	93.731	
465	695.34	9.2078e-004	93.098	
466	696.22	9.1529e-004	92.964	
467	696.96	9.107e-004	92.857	
468	700.35	8.9085e-004	92.437	
469	702.45	8.7928e-004	92.214	
470	703.75	8.7232e-004	92.092	
471	704.55	8.6809e-004	92.025	
472	705.05	8.6551e-004	91.987	
473	705.35	8.6394e-004	91.965	
474	705.54	8.6297e-004	91.952	
475	705.66	8.6238e-004	91.944	
476	705.73	8.6201e-004	91.94	
477	705.77	8.6179e-004	91.937	
478	705.84	8.6143e-004	91.932	
479	705.91	8.6108e-004	91.928	
480	705.96	8.6085e-004	91.925	
481	706.03	8.6049e-004	91.921	
482	706.14	8.5991e-004	91.914	
483	706.33	8.5897e-004	91.903	
484	706.64	8.5745e-004	91.885	
485	707.14	8.5502e-004	91.86	
486	707.94	8.512e-004	91.824	
487	709.25	8.4529e-004	91.777	
488	711.38	8.3648e-004	91.715	
489	714.84	8.237e-004	91.629	
490	720.45	8.0549e-004	91.534	
491	724.38	7.9388e-004	91.536	
492	727.85	7.8404e-004	91.626	
493	733.56	7.6821e-004	92.125	
494	737.13	7.5905e-004	92.866	
495	739.34	7.5472e-004	93.597	
496	740.71	7.5311e-004	94.173	
497	741.55	7.5266e-004	94.577	
498	742.07	7.5263e-004	94.846	
499	742.39	7.5271e-004	95.019	
500	742.59	7.5279e-004	95.129	
501	742.71	7.5286e-004	95.197	
502	742.79	7.5291e-004	95.24	
503	742.84	7.5294e-004	95.267	
504	742.91	7.53e-004	95.31	
505	742.98	7.5306e-004	95.353	
506	743.03	7.531e-004	95.38	
507	743.11	7.5317e-004	95.424	
508	743.23	7.5329e-004	95.497	
509	743.43	7.5352e-004	95.618	
510	743.75	7.5397e-004	95.819	
511	744.27	7.5495e-004	96.163	
512	745.12	7.5731e-004	96.767	
513	746.5	7.6402e-004	97.872	
514	747.84	7.7563e-004	99.043	
515	749.14	7.9375e-004	100.14	
516	750.53	8.2135e-004	100.98	
517	751.38	8.4208e-004	101.19	
518	751.91	8.5576e-004	101.17	
519	752.24	8.6435e-004	101.1	
520	752.44	8.6967e-004	101.04	
521	752.56	8.7294e-004	100.99	
522	752.64	8.7495e-004	100.96	
523	752.69	8.7618e-004	100.94	
524	752.76	8.7816e-004	100.9	
525	752.84	8.8013e-004	100.86	
526	752.88	8.8136e-004	100.84	
527	752.96	8.8334e-004	100.8	
528	753.08	8.8655e-004	100.72	
529	753.29	8.9169e-004	100.59	
530	753.61	8.9984e-004	100.35	
531	754.14	9.1239e-004	99.886	
532	755.	9.305e-004	98.988	
533	756.4	9.5301e-004	97.329	
534	758.67	9.7351e-004	94.664	
535	761.59	9.8329e-004	91.835	
536	764.41	9.8633e-004	89.648	
537	766.7	9.8629e-004	88.111	
538	768.12	9.8485e-004	87.266	
539	769.	9.8345e-004	86.803	
540	769.54	9.8246e-004	86.546	
